=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.05.23 21:19:08 =~=~=~=~=~=~=~=~=~=~=~=
BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1963900 | BTNL: 1 | BTNR: 1      | LEDL: 0 | LEDR: 0
Time: 1964000 | BTNL: 1 | BTNR: 1      | LEDL: 0 | LEDR: 0
Time: 1964100 | BTNL: 1 | BTNR: 1      | LEDL: 0 | LEDR: 0
Time: 1964200 | BTNL: 1 | BTNR: 1      | LEDL: 0 | LEDR: 0
Time: 1964300 | BTNL: 1 | BTNR: 1      | LEDL: 0 | LEDR: 0
Time: 1964400 | BTNL: 1 | BTNR: 1      | LEDL: 0 | LEDR: 0
Time: 1964500 | BTNL: 1 | BTNR: 1      | LEDL: 0 | LEDR: 0
Time: 1964600 | BTNL: 1 | BTNR: 1      | LEDL: 0 | LEDR: 0
Time: 1964700 | BTNL: 1 | BTNR: 1      | LEDL: 0 | LEDR: 0
Time: 1964800 | BTNL: 1 | BTNR: 1      | LEDL: 0 | LEDR: 0
Time: 1964900 | BTNL: 1 | BTNR: 1      | LEDL: 0 | LEDR: 0
Time: 1965000 | BTNL: 1 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1965100 | BTNL: 0 | BTNR: 0      | LEDL: 1 | LEDR: 1
Time: 1965200 | BTNL: 0 | BTNR: 0      | LEDL: 1 | LEDR: 1
Time: 1965300 | BTNL: 0 | BTNR: 0      | LEDL: 1 | LEDR: 1
Time: 1965400 | BTNL: 0 | BTNR: 0      | LEDL: 1 | LEDR: 1
Time: 1965500 | BTNL: 0 | BTNR: 0      | LEDL: 1 | LEDR: 1
Time: 1965600 | BTNL: 0 | BTNR: 0      | LEDL: 1 | LEDR: 1
Time: 1965700 | BTNL: 0 | BTNR: 0      | LEDL: 1 | LEDR: 1
Time: 1965800 | BTNL: 0 | BTNR: 0      | LEDL: 1 | LEDR: 1
Time: 1965900 | BTNL: 0 | BTNR: 0      | LEDL: 1 | LEDR: 1
Time: 1966000 | BTNL: 0 | BTNR: 0      | LEDL: 1 | LEDR: 1
Time: 1966100 | BTNL: 0 | BTNR: 0      | LEDL: 1 | LEDR: 1
Time: 1966200 | BTNL: 0 | BTNR: 0      | LEDL: 1 | LEDR: 1
Time: 1966300 | BTNL: 0 | BTNR: 0      | LEDL: 1 | LEDR: 1
Time: 1966400 | BTNL: 0 | BTNR: 0      | LEDL: 1 | LEDR: 1
Time: 1966500 | BTNL: 0 | BTNR: 0      | LEDL: 1 | LEDR: 1
